rank,score,tournament_id,name,event_date,series,flagged_classes,top_flags
282,10.0,1317,第2回競技かるた初段認定長崎大会,2022-11-13,初段認定長崎大会,1,詳細(-):相手未解決4%(3件); 優勝者導出なし
283,10.0,1333,第50回全国競技かるた大分大会,2022-12-18,大分大会,1,D3(D):勝敗矛盾2件; 優勝者導出なし
284,10.0,1369,第1回初段認定和歌山大会,2023-03-19,初段認定和歌山大会,1,対戦結果詳細(-):勝敗矛盾2件; 優勝者導出なし
285,9.8,973,第7回競技かるた初段認定静岡大会,2024-03-30,初段認定静岡大会,1,詳細(-):相手未解決4%(4件); 優勝者導出なし
286,9.5,781,第47回全国小・中学生競技かるた選手権大会,2017-03-26,小・中学生選手権,2,小学６年級(-):ミラー欠落7%(12件) / 中学１年級(-):ミラー欠落2%(3件)
287,9.0,353,第1回全国競技かるた福島大会,2016-12-04,福島大会,2,D2(D):選手名ゴミ1件; 相手名ゴミ4件 / C2(C):選手名ゴミ1件; 相手名ゴミ1件
288,9.0,796,"第62回新春全国競技かるた大会(D,E)",,新春全国大会,1,D6(D):相手未解決4%(4件); ミラー欠落5%(4件)
289,8.8,1227,第2回競技かるた初段認定福岡大会,2022-03-21,初段認定福岡大会,1,詳報(-):相手未解決3%(6件); 優勝者導出なし
290,8.7,963,第3回競技かるた初段認定香川大会,2024-03-10,初段認定香川大会,1,詳報(-):相手未解決3%(2件); 優勝者導出なし
291,8.6,1335,第2回初段認定香川大会,2022-12-18,初段認定香川大会,1,詳報(-):相手未解決3%(3件); 優勝者導出なし
292,8.1,8,第13回全国かるた競技富山大会,2011-09-17,富山大会,1,A(A):相手未解決8%(8件)
293,8.1,1528,第63期クイーン戦西日本予選,2018-10-21,クイーン戦西日本予選,1,クイーン位級(-):相手未解決4%(4件); ミラー欠落4%(4件)
294,8.0,122,第25回全日本シニアかるた選手権大会,2013-05-18,シニア選手権,1,G(-):相手未解決8%(2件)
295,8.0,234,"第24回全国競技かるた奈良大会(B,C,D,E,ねんりん)",2015-02-15,奈良大会,1,ねんりん(-):相手未解決8%(2件)
296,8.0,267,第27回全日本シニアかるた選手権大会,2015-05-16,シニア選手権,1,G(-):相手未解決8%(2件)
297,8.0,1435,第76回全国競技かるた桑名大会,2017-03-20,桑名大会,1,D7(D):相手未解決4%(2件); ミラー欠落4%(2件)
298,7.4,1183,第71回小倉百人一首競技かるた新春全国大会(E),2026-01-10,新春全国大会,1,E11(E):ミラー欠落7%(4件)
299,7.0,398,"第1回全国競技かるた信州大会~in駒ヶ根(B,C,D,E)",2017-11-26,信州大会,1,B1(B):選手名ゴミ2件; 相手名ゴミ3件
300,6.7,624,"第9回全国競技かるた山口大会(A,B,C)",2021-12-26,山口大会,1,A(A):相手未解決7%(2件)
301,6.6,203,第25回全国かるた競技水沢大会,2014-09-28,水沢大会,2,D1(D):相手未解決3%(2件) / D2(D):相手未解決3%(2件)
302,6.2,77,第23回全国かるた競技水沢大会,2012-09-30,水沢大会,3,E2(E):相手未解決2%(2件) / E1(E):相手未解決2%(2件) / D1(D):相手未解決2%(2件)
303,6.0,396,"第89回全国競技かるた学生選手権大会(A,B,C)",2017-03-25,学生選手権,2,C1(C):選手名ゴミ1件; 相手名ゴミ1件 / C5(C):選手名ゴミ1件; 相手名ゴミ1件
304,6.0,523,"第33回全国競技かるたさがみ野大会(B,C)",2019-04-29,さがみ野大会,1,B2(B):選手名ゴミ2件; 相手名ゴミ2件
305,6.0,643,第14回全国かるた愛知大会,2011-12-10,愛知大会,1,A(A):優勝者導出なし
306,6.0,660,第27回全国選抜かるた大会,,全国選抜大会,1,A(A):優勝者導出なし
307,6.0,677,第14回 稲城市民かるた大会 平成25年2月3日(日),2013-02-03,稲城市民大会,1,対戦結果(-):優勝者導出なし
308,6.0,678,第41回 全国かるた競技宇佐神宮大会結果表,2013-03-10,宇佐神宮大会,1,D(D):優勝者導出なし
309,6.0,679,第28回全国選抜かるた大会,,全国選抜大会,1,A(A):優勝者導出なし
310,6.0,687,第21回 多摩百人一首かるた大会,2013-10-13,多摩大会,1,Sheet1(-):優勝者導出なし
311,6.0,697,第4回東京都初心者大会,2013-11-30,東京都初心者大会,1,試合結果(-):優勝者導出なし
312,6.0,709,第25回全国かるた競技広島大会の結果について(大会報告),2014-06-04,広島大会,1,D(D):優勝者導出なし
313,6.0,713,第15回百人一首かるた杉並大会,2014-06-08,杉並大会,1,E2(E):優勝者導出なし
314,6.0,716,第2回 白瀧杯女流かるた高校選手権大会,,白瀧杯女流高校選手権,1,A(A):優勝者導出なし
315,6.0,722,第5回全国かるた競技岡山大会 大会結果表,2014-11-22,岡山大会,1,B(B):優勝者導出なし
316,6.0,731,第30回全国選抜かるた大会,,全国選抜大会,1,A(A):優勝者導出なし
317,6.0,737,第38回 全国小・中学生競技かるた選手権福井大会 結果報告表,,小中学生選手権福井,1,高校生(-):優勝者導出なし
318,6.0,743,第3回 白瀧杯女流かるた高校選手権大会,,白瀧杯女流高校選手権,1,白瀧杯級(-):優勝者導出なし
319,6.0,748,第74回全国競技かるた桑名大会,2016-03-21,桑名大会,1,もみじ級(-):優勝者導出なし
320,6.0,756,第31回全国選抜かるた大会,,全国選抜大会,1,A(A):優勝者導出なし
321,6.0,759,第98回全国競技かるた大阪大会(DE級),2016-12-25,大阪大会,1,-(-):優勝者導出なし
322,6.0,772,"第7回全国競技かるた丹波篠山大会(C,D,E)",,丹波篠山大会,1,E2(E):優勝者導出なし
323,6.0,773,第24回多摩百人一首かるた大会初心者の部(あきる野市大会),,多摩大会初心者の部,1,Sheet1(-):優勝者導出なし
324,6.0,778,第59回全国かるた競技和歌山大会(ABCD級),2017-12-03,和歌山大会,1,-(-):優勝者導出なし
325,6.0,780,"第75回全国競技かるた桑名大会(C,D,E)",2017-03-20,桑名大会,1,もみじ級(-):優勝者導出なし
326,6.0,783,第32回全国選抜かるた大会,,全国選抜大会,1,A(A):優勝者導出なし
327,6.0,790,第14回全国競技かるた香川大会,2017-09-16,香川大会,1,B(B):優勝者導出なし
328,6.0,803,第60回全国競技かるた和歌山大会(ABCD級),2018-11-04,和歌山大会,1,-(-):優勝者導出なし
329,6.0,810,第42回全国競技かるた宗像大社大会(D),,宗像大社大会,1,D(D):優勝者導出なし
330,6.0,813,第27回全国競技かるた奈良大会(B級以下の部),2018-02-18,奈良大会,1,-(-):優勝者導出なし
331,6.0,815,第33回全国選抜かるた大会,,全国選抜大会,1,A(A):優勝者導出なし
332,6.0,821,第34回全国選抜かるた大会,,全国選抜大会,1,A(A):優勝者導出なし
333,6.0,825,"第49回太宰府小倉百人一首競技かるた大会(A,B)",,太宰府大会,1,B(B):優勝者導出なし
334,6.0,828,第49回太宰府小倉百人一首競技かるた大会(他),,太宰府大会,1,Sheet1(-):優勝者導出なし
335,6.0,830,第41回全国高等学校小倉百人一首かるた選手権大会(個人戦の部),,高等学校選手権(個人戦),1,Entry(E):優勝者導出なし
336,6.0,849,第7回白瀧杯女流かるた高校選手権大会,,白瀧杯女流高校選手権,1,白瀧杯級(-):優勝者導出なし
337,6.0,854,"第50回太宰府小倉百人一首競技かるた大会(A,B)",,太宰府大会,1,B(B):優勝者導出なし
338,6.0,855,第1回 ちはやふる小倉山杯,2020-02-23,ちはやふる小倉山杯,1,A(A):優勝者導出なし
339,6.0,858,第50回太宰府小倉百人一首競技かるた大会(D),,太宰府大会,1,Ｄ級詳報(D):優勝者導出なし
340,6.0,860,第21回稲城市民かるた大会,2020-02-02,稲城市民大会,1,詳細結果(-):優勝者導出なし
341,6.0,861,オリンピック・パラリンピック記念あわら世界大会,2021-06-06,,1,国際交流級(-):優勝者導出なし
342,6.0,867,第1回競技かるた初段認定青森大会,2021-06-13,初段認定青森大会,1,初段認定級(-):優勝者導出なし
343,6.0,868,第1回競技かるた初段認定宇都宮大会,2021-07-18,初段認定宇都宮大会,1,対戦結果(-):優勝者導出なし
344,6.0,870,第1回競技かるた初段認定富山大会,,初段認定富山大会,1,E(E):優勝者導出なし
345,6.0,871,第1回競技かるた初段認定三重大会,,初段認定三重大会,1,E(E):優勝者導出なし
346,6.0,873,第1回競技かるた初段認定山梨大会,2021-09-20,初段認定山梨大会,1,初段認定大会(-):優勝者導出なし
347,6.0,875,第1回初段認定大阪なにはえ会大会,2021-10-17,初段認定大阪なにはえ会大会,1,Sheet1(-):優勝者導出なし
348,6.0,876,第2回競技かるた初段認定宇都宮大会,2021-10-24,初段認定宇都宮大会,1,対戦表(-):優勝者導出なし
349,6.0,878,第1回競技かるた初段認定静岡大会,2021-12-18,初段認定静岡大会,1,詳細(-):優勝者導出なし
350,6.0,884,第2回初段認定湘南大会,2021-11-23,初段認定湘南大会,1,大会結果(-):優勝者導出なし
351,6.0,885,第1回競技かるた初段認定北九州大会,2021-11-14,初段認定北九州大会,1,詳報(-):優勝者導出なし
352,6.0,889,第1回競技かるた初段認定茨城大会,2021-12-25,初段認定茨城大会,1,E(E):優勝者導出なし
353,6.0,890,第1回競技かるた初段認定島根大会,2021-12-12,初段認定島根大会,1,E(E):優勝者導出なし
354,6.0,892,第1回競技かるた初段認定東京都大会,2021-11-28,初段認定東京都大会,1,対戦成績(-):優勝者導出なし
355,6.0,895,第2回競技かるた初段認定三重大会,,初段認定三重大会,1,E(E):優勝者導出なし
356,6.0,896,第1回初段認定大垣大会,,初段認定大垣大会,1,E(E):優勝者導出なし
357,6.0,897,第3回競技かるた初段認定宇都宮大会,2021-12-26,初段認定宇都宮大会,1,対戦表(-):優勝者導出なし
358,6.0,898,第1回競技かるた初段認定岡山大会,2021-12-26,初段認定岡山大会,1,対戦(-):優勝者導出なし
359,6.0,901,第1回 初段認定前橋大会,2021-11-28,初段認定前橋大会,1,初段認定の部(-):優勝者導出なし
360,6.0,902,第2回競技かるた初段認定滋賀大会,,初段認定滋賀大会,1,F級対戦結果(-):優勝者導出なし
361,6.0,911,第4回競技かるた初段認定 福岡大会,2023-10-29,初段認定福岡大会,1,詳報(-):優勝者導出なし
362,6.0,913,第3回競技かるた初段認定熊本大会,2023-10-29,初段認定熊本大会,1,詳報(-):優勝者導出なし
363,6.0,914,蓮生記念第10回全国競技かるた宇都宮大会,2023-10-28,宇都宮大会,1,A(A):優勝者導出なし
364,6.0,916,第11回全国競技かるた山口大会(11/05),2023-11-05,山口大会,1,後分割(-):優勝者導出なし
365,6.0,919,第3回競技かるた初段認定長崎大会,2023-11-12,初段認定長崎大会,1,詳細(-):優勝者導出なし
366,6.0,922,"第32回全国競技かるた奈良大会(A,B)",2023-11-23,奈良大会,1,A(A):優勝者導出なし
367,6.0,923,"第39回全国競技かるた熊本大会(C,D)",2023-11-26,熊本大会,1,D(D):優勝者導出なし
368,6.0,929,第7回全国競技かるた信州大会(A),2023-12-17,信州大会,1,A級(A):優勝者導出なし
369,6.0,930,第6回競技かるた初段認定静岡大会,2023-12-17,初段認定静岡大会,1,詳細(-):優勝者導出なし
370,6.0,936,"第73回高松宮記念杯近江神宮全国競技かるた大会(A,B)",2024-01-07,高松宮杯,1,A(A):優勝者導出なし
371,6.0,939,第53回太宰府小倉百人一首競技かるた大会(A),2024-01-14,太宰府大会,1,A(A):優勝者導出なし
372,6.0,940,第53回太宰府小倉百人一首競技かるた大会(B),2024-01-13,太宰府大会,1,B(B):優勝者導出なし
373,6.0,942,第2回競技かるた初段認定広島大会,2024-01-14,初段認定広島大会,1,詳細結果(-):優勝者導出なし
374,6.0,951,第77回全国競技かるた東京東会大会(A・01/28),2024-01-28,東京東会大会,1,A3(A):優勝者導出なし
375,6.0,957,第77回全国競技かるた東京東会大会(D),2024-02-18,東京東会大会,1,D(D):優勝者導出なし
376,6.0,958,第1回競技かるた初段認定久留米大会,2024-02-23,初段認定久留米大会,1,詳報(-):優勝者導出なし
377,6.0,959,第103回全国競技かるた横浜大会(A),2024-02-17,横浜大会,1,A級(A):優勝者導出なし
378,6.0,960,第103回全国競技かるた横浜大会(B),2024-02-18,横浜大会,1,B級(B):優勝者導出なし
379,6.0,961,第39回全国選抜かるた大会,2024-03-03,全国選抜大会,1,A(A):優勝者導出なし
380,6.0,967,第4回競技かるた初段認定徳島大会,2024-02-18,初段認定徳島大会,1,大会結果(-):優勝者導出なし
381,6.0,976,"第40回全国競技かるた熊本大会(A,B)",2024-04-27,熊本大会,1,Ｂ級(B):優勝者導出なし
382,6.0,990,第一回全国競技かるた杉並大会,2024-06-23,杉並大会,1,試合結果(-):優勝者導出なし
383,6.0,992,第78回全国競技かるた東京東会大会(B),2024-06-30,東京東会大会,1,B(B):優勝者導出なし
384,6.0,993,第78回全国競技かるた東京東会大会(C),2024-07-07,東京東会大会,1,C(C):優勝者導出なし
385,6.0,994,第78回全国競技かるた東京東会大会(D),2024-06-29,東京東会大会,1,D(D):優勝者導出なし
386,6.0,996,"第40回全国競技かるた宮崎大会(A,B,C)",2024-07-15,宮崎大会,1,C(C):優勝者導出なし
387,6.0,999,第31回全国競技かるた多摩大会(07/27),2024-07-27,多摩大会,1,全体(-):優勝者導出なし
388,6.0,1002,第63回全国競技かるた和歌山大会,2024-08-04,和歌山大会,1,-(-):優勝者導出なし
389,6.0,1007,第46回全国高等学校選手権大会（個人戦）,2024-07-21,高等学校選手権(個人戦),1,A(A):優勝者導出なし
390,6.0,1020,第104回 全国競技かるた横浜大会(A),2024-09-15,横浜大会,1,A(A):優勝者導出なし
391,6.0,1041,蓮生記念第11回全国競技かるた宇都宮大会(ABCD級),2024-10-26,宇都宮大会,1,A(A):優勝者導出なし
392,6.0,1042,第77回全国競技かるた福井大会(D),2024-11-03,福井大会,1,D(D):優勝者導出なし
393,6.0,1045,第104回全国競技かるた横浜大会(D),2024-11-04,横浜大会,1,D(D):優勝者導出なし
394,6.0,1046,"第40回全国競技かるた宮崎大会(D,E)",2024-11-17,宮崎大会,1,D2(D):優勝者導出なし
395,6.0,1049,第95回全国競技かるた学生選手権大会(11/30),2024-11-30,学生選手権,1,対戦結果(-):優勝者導出なし
396,6.0,1051,第12回全国競技かるた山口大会(12/08),2024-12-08,山口大会,1,後分割(-):優勝者導出なし
397,6.0,1052,第12回全国競技かるた山口大会(12/07),2024-12-07,山口大会,1,後分割(-):優勝者導出なし
398,6.0,1055,第74回高松宮記念杯近江神宮全国大会(D),2024-12-15,高松宮杯,1,D3(D):優勝者導出なし
399,6.0,1063,第70回小倉百人一首競技かるた新春全国大会(A),2025-01-13,新春全国大会,1,A(A):優勝者導出なし
400,6.0,1065,第82回全国競技かるた桑名大会(C),2025-01-19,桑名大会,1,C(C):優勝者導出なし
401,6.0,1076,第104回全国競技かるた横浜大会(B),2025-02-11,横浜大会,1,B(B):優勝者導出なし
402,6.0,1077,第78回全国競技かるた東京東会大会(A・02/15),2025-02-15,東京東会大会,1,A(A):優勝者導出なし
403,6.0,1082,第40回全国選抜かるた大会,2025-03-09,全国選抜大会,1,A(A):優勝者導出なし
404,6.0,1083,第104回全国競技かるた横浜大会(C),2025-03-09,横浜大会,1,C(C):優勝者導出なし
405,6.0,1097,小倉百人一首競技かるた 第57回全国女流選手権大会,2025-05-31,女流選手権,1,B(B):優勝者導出なし
406,6.0,1101,第2回全国競技かるた青森大会,2025-06-07,青森大会,1,E(E):優勝者導出なし
407,6.0,1103,"第2回全国競技かるた杉並大会(A,B,C)",2025-06-15,杉並大会,1,A(A):優勝者導出なし
408,6.0,1114,第105回全国競技かるた横浜大会(C),2025-08-17,横浜大会,1,C(C):優勝者導出なし
409,6.0,1115,第105回全国競技かるた横浜大会(B),2025-08-16,横浜大会,1,B(B):優勝者導出なし
410,6.0,1118,第32回全国競技かるた多摩大会(08/10),2025-08-10,多摩大会,1,Sheet1(-):優勝者導出なし
411,6.0,1120,"第53回全国競技かるた大分大会(A,B)",2025-08-24,大分大会,1,A(A):優勝者導出なし
412,6.0,1122,第9回全国競技かるた信州大会(A),2025-08-31,信州大会,1,A級(A):優勝者導出なし
413,6.0,1129,第105回全国競技かるた横浜大会(A),2025-09-14,横浜大会,1,A(A):優勝者導出なし
414,6.0,1132,第44回全国競技かるた東京吉野会大会(B),2025-09-14,東京吉野会大会,1,B(B):優勝者導出なし
415,6.0,1139,第32回全国競技かるた多摩大会(10/11),2025-10-11,多摩大会,1,F(-):優勝者導出なし
416,6.0,1154,第64回全国競技かるた和歌山大会,2025-11-23,和歌山大会,1,-(-):優勝者導出なし
417,6.0,1157,蓮生記念第12回全国競技かるた宇都宮大会,2025-11-22,宇都宮大会,1,A(A):優勝者導出なし
418,6.0,1164,第55回太宰府小倉百人一首競技かるた大会(E),2025-12-07,太宰府大会,1,E(E):優勝者導出なし
419,6.0,1167,第13回全国競技かるた山口大会(12/21),2025-12-21,山口大会,1,後分割(-):優勝者導出なし
420,6.0,1168,第13回全国競技かるた山口大会(12/20),2025-12-20,山口大会,1,後分割(-):優勝者導出なし
421,6.0,1170,第8回全国競技かるた大阪なにはえ大会(A),2025-12-21,大阪なにはえ大会,1,A(A):優勝者導出なし
422,6.0,1174,第75回高松宮記念杯近江神宮全国競技かるた大会(A),2026-01-12,高松宮杯,1,A(A):優勝者導出なし
423,6.0,1197,第41回全国選抜かるた大会,2026-03-08,全国選抜大会,1,A(A):優勝者導出なし
424,6.0,1214,第56回全国競技かるた松山大会,2026-05-31,松山大会,1,Entry(E):優勝者導出なし
425,6.0,1218,小倉百人一首競技かるた 第58回全国女流選手権大会,2026-06-06,女流選手権,1,B(B):優勝者導出なし
426,6.0,1222,第51回太宰府小倉百人一首競技かるた大会,2022-01-09,太宰府大会,1,B(B):優勝者導出なし
427,6.0,1225,第40回全国競技かるた東京吉野会大会(C),2022-01-15,東京吉野会大会,1,C5(C):優勝者導出なし
428,6.0,1228,第1回競技かるた初段認定呉大会,2022-03-27,初段認定呉大会,1,詳細結果(-):優勝者導出なし
429,6.0,1229,第1回競技かるた初段認定長崎大会,2022-03-27,初段認定長崎大会,1,詳細(-):優勝者導出なし
430,6.0,1244,第1回競技かるた初段認定山口大会,2022-04-17,初段認定山口大会,1,結果詳細(-):優勝者導出なし
431,6.0,1255,第2回競技かるた初段認定東京都大会,2022-05-22,初段認定東京都大会,1,対戦成績(-):優勝者導出なし
432,6.0,1257,第4回競技かるた初段認定宇都宮大会,2022-06-05,初段認定宇都宮大会,1,対戦表(-):優勝者導出なし
433,6.0,1265,第1回競技かるた初段認定シンガポール大会,2022-06-19,初段認定シンガポル大会,1,詳細(-):優勝者導出なし
434,6.0,1267,第3回競技かるた初段認定湘南大会,2022-06-19,初段認定湘南大会,1,大会結果(-):優勝者導出なし
435,6.0,1268,第2回競技かるた初段認定大分大会,2022-06-19,初段認定大分大会,1,詳細(-):優勝者導出なし
436,6.0,1269,第8回白瀧杯 女流かるた高校選手権大会,2022-07-03,白瀧杯女流高校選手権,1,白瀧杯級(-):優勝者導出なし
437,6.0,1271,第1回全国競技かるた兵庫県ステップアップ大会,2022-07-10,兵庫県ステップアップ大会,1,E(E):優勝者導出なし
438,6.0,1272,第2回競技かるた初段認定石川大会,2022-07-10,初段認定石川大会,1,結果詳報(-):優勝者導出なし
439,6.0,1273,第2回全国競技かるた初段認定山口大会,2022-07-17,初段認定山口大会,1,結果詳細(-):優勝者導出なし
440,6.0,1275,第76回全国競技かるた東京東会大会,2022-08-11,東京東会大会,1,E(E):優勝者導出なし
441,6.0,1279,第5回競技かるた初段認定宇都宮大会,2022-08-28,初段認定宇都宮大会,1,対戦表(-):優勝者導出なし
442,6.0,1300,第5回全国競技かるた秋田大会,2022-10-02,秋田大会,1,記録(-):優勝者導出なし
443,6.0,1305,第2回競技かるた初段認定島根大会,2022-10-16,初段認定島根大会,1,E(E):優勝者導出なし
444,6.0,1307,第2回全国競技かるた初段認定熊本大会,2022-10-23,初段認定熊本大会,1,詳細(-):優勝者導出なし
445,6.0,1308,第3回競技かるた初段認定福岡大会,2022-10-23,初段認定福岡大会,1,詳報(-):優勝者導出なし
446,6.0,1310,第6回競技かるた初段認定宇都宮大会,2022-10-09,初段認定宇都宮大会,1,対戦表(-):優勝者導出なし
447,6.0,1312,第2回競技かるた初段認定大垣大会,2022-10-09,初段認定大垣大会,1,E(E):優勝者導出なし
448,6.0,1320,第2回競技かるた初段認定秋田大会,2022-11-20,初段認定秋田大会,1,初段認定 (成績表) (2)(-):優勝者導出なし
449,6.0,1321,第12回全国競技かるた岡山大会,2022-11-26,岡山大会,1,D(D):優勝者導出なし
450,6.0,1322,第31回全国競技かるた奈良大会(11/23),2022-11-23,奈良大会,1,-(-):優勝者導出なし
451,6.0,1323,第62回全国競技かるた和歌山大会,2022-11-20,和歌山大会,1,-(-):優勝者導出なし
452,6.0,1324,第3回競技かるた初段認定東京都大会,2022-11-27,初段認定東京都大会,1,対戦成績(-):優勝者導出なし
453,6.0,1325,第7回初段認定宇都宮大会,2022-12-04,初段認定宇都宮大会,1,対戦表(-):優勝者導出なし
454,6.0,1336,第3回競技かるた初段認定三重大会,2022-12-18,初段認定三重大会,1,E(E):優勝者導出なし
455,6.0,1337,第2回競技かるた初段認定岡山大会,2022-12-25,初段認定岡山大会,1,E(E):優勝者導出なし
456,6.0,1341,第52回太宰府小倉百人一首競技かるた大会,2023-01-08,太宰府大会,1,D(D):優勝者導出なし
457,6.0,1348,第3回競技かるた初段認定滋賀大会,2023-01-15,初段認定滋賀大会,1,E(E):優勝者導出なし
458,6.0,1349,第1回競技かるた初段認定広島大会,2023-01-15,初段認定広島大会,1,詳細結果(-):優勝者導出なし
459,6.0,1353,第2回競技かるた初段認定シンガポール大会,2023-02-05,初段認定シンガポル大会,1,詳細(-):優勝者導出なし
460,6.0,1365,第38回全国選抜かるた大会,2023-03-05,全国選抜大会,1,A(A):優勝者導出なし
461,6.0,1368,第3回競技かるた初段認定島根大会,2023-03-19,初段認定島根大会,1,E(E):優勝者導出なし
462,6.0,1371,第2回競技かるた初段認定福井大会,2023-03-19,初段認定福井大会,1,E1(E):優勝者導出なし
463,6.0,1372,第42回全国競技かるた鹿児島大会,2023-03-19,鹿児島大会,1,E(E):優勝者導出なし
464,6.0,1375,第8回競技かるた初段認定宇都宮大会,2023-02-18,初段認定宇都宮大会,1,対戦表(-):優勝者導出なし
465,6.0,1379,第1回競技かるた初段認定四国支部大会,2023-04-02,初段認定四国支部大会,1,詳報(-):優勝者導出なし
466,6.0,1386,第41回全国競技かるた東京吉野会大会(D),2023-05-03,東京吉野会大会,1,D3(D):優勝者導出なし
467,6.0,1395,第3回競技かるた初段認定石川大会,2023-06-11,初段認定石川大会,1,結果詳報(-):優勝者導出なし
468,6.0,1397,第4回競技かるた初段認定東京都大会,2023-06-25,初段認定東京都大会,1,対戦成績(-):優勝者導出なし
469,6.0,1399,第77回全国競技かるた東京東会大会(B),2023-06-25,東京東会大会,1,B(B):優勝者導出なし
470,6.0,1400,第77回全国競技かるた東京東会大会(C),2023-06-24,東京東会大会,1,C(C):優勝者導出なし
471,6.0,1404,第3回競技かるた初段認定愛媛大会,2023-07-16,初段認定愛媛大会,1,初段認定級(-):優勝者導出なし
472,6.0,1415,第3回競技かるた初段認定大垣大会,2023-08-11,初段認定大垣大会,1,E(E):優勝者導出なし
473,6.0,1417,第4回競技かるた初段認定鹿児島大会,2023-08-11,初段認定鹿児島大会,1,詳　報(-):優勝者導出なし
474,6.0,1422,"第76回全国競技かるた福井大会(B,E)",2023-09-03,福井大会,1,E(E):優勝者導出なし
475,6.0,1423,第5回競技かるた初段認定静岡大会,2023-09-03,初段認定静岡大会,1,詳細(-):優勝者導出なし
476,6.0,1433,第4回競技かるた初段認定大垣大会,2023-10-08,初段認定大垣大会,1,対戦結果(-):優勝者導出なし
477,6.0,1444,第1回競技かるた初段認定東京都高等学校大会,2021-12-28,初段認定東京都高等学校大会,1,ＩＤ順(-):優勝者導出なし
478,6.0,1445,第3回競技かるた初段認定東京都高等学校大会,2023-11-03,初段認定東京都高等学校大会,1,ID順(-):優勝者導出なし
479,6.0,1451,第1回競技かるた初段認定佐賀大会,2022-03-19,初段認定佐賀大会,1,詳細(-):優勝者導出なし
480,6.0,1452,第1回競技かるた初段認定福井大会,2022-03-20,初段認定福井大会,1,詳細(-):優勝者導出なし
481,6.0,1453,第3回全国競技かるた初段認定鹿児島大会,2022-08-11,初段認定鹿児島大会,1,詳細(-):優勝者導出なし
482,6.0,1456,第22回多摩百人一首かるた大会 初心者の部(八王子市大会),2014-10-12,多摩大会初心者の部,1,F級(-):優勝者導出なし
483,6.0,1506,第1回競技かるた初段認定台湾大会,2023-12-09,初段認定台湾大会,1,初段認定(-):優勝者導出なし
484,6.0,1512,第3回競技かるた初段認定徳島大会,2023-06-04,初段認定徳島大会,1,対戦結果(-):優勝者導出なし
485,5.3,256,"第68回全国かるた競技福井大会(A,B)",2015-06-14,福井大会,1,A(A):相手未解決5%(6件)
486,4.9,257,第17回全国かるた競技富山大会,2015-09-12,富山大会,1,A(A):相手未解決5%(6件)
487,4.9,988,第36回全日本シニア選手権大会,2024-06-15,シニア選手権,1,C1(C):相手未解決2%(1件); ミラー欠落3%(1件)
488,4.8,130,第1回奥の細道結びの地全国かるた大垣大会(A),2013-05-05,大垣大会,1,A(A):相手未解決5%(6件)
489,4.3,594,"第84回椿杯争奪全国競技かるた大会(A,B,C)",2020-11-29,椿杯大会,1,A(A):相手未解決4%(2件)
490,4.1,610,"第85回椿杯争奪全国競技かるた大会(A,B,C)",2021-05-15,椿杯大会,1,A(A):相手未解決4%(2件)
491,4.0,1219,"第40回全国競技かるたさがみ野大会(D,E)",2026-06-07,さがみ野大会,1,E3(E):選手名ゴミ1件; 相手名ゴミ2件
492,3.7,5,第45回椿雄太郎杯争奪全国かるた競技大会,2010-12-05,椿雄太郎杯大会,1,A(A):相手未解決4%(4件)
493,3.7,199,第16回全国かるた競技富山大会,2014-09-13,富山大会,1,A(A):相手未解決4%(4件)
494,3.7,402,第19回全国競技かるた富山大会,2017-09-16,富山大会,1,A(A):相手未解決4%(4件)
495,3.7,411,第35回小倉百人一首かるた競技宮崎大会,2017-10-29,宮崎大会,1,D5(D):相手未解決4%(2件)
496,3.7,1155,第34回全国競技かるた奈良大会,2025-11-23,奈良大会,1,E13(E):相手未解決4%(1件)
497,3.5,192,第22回多摩百人一首かるた大会(D),2014-07-20,多摩大会,1,D10(D):相手未解決4%(2件)
498,3.5,418,第1回全国競技かるた信州大会~in佐久(A),2017-08-06,信州大会,1,A(A):相手未解決4%(4件)
499,3.5,520,第20回上杉杯争奪全国競技かるた大会,2019-04-13,上杉杯大会,1,D3(D):相手未解決4%(2件)
500,3.4,273,"第12回全国競技かるた香川大会(D,E)",2015-09-20,香川大会,1,D1(D):相手未解決3%(2件)
501,3.4,410,"第19回全国競技かるた愛知大会(D,E)",2017-12-03,愛知大会,1,D5(D):相手未解決3%(2件)
502,3.4,1166,第75回高松宮記念杯近江神宮全国競技かるた大会(D),2025-12-14,高松宮杯,1,D2(D):相手未解決3%(2件)
503,3.3,87,"第26回全国かるたさがみ野大会(D,E)",2012-05-04,さがみ野大会,1,D3(D):相手未解決3%(2件)
504,3.3,216,第36回北日本かるた競技新人戦,2014-12-06,北日本新人戦,1,F(-):相手未解決3%(2件)
505,3.3,249,第23回全国競技かるた多摩大会(E),2015-07-26,多摩大会,1,E8(E):相手未解決3%(2件)
506,3.3,431,第29回全国競技かるた水沢大会,2018-09-23,水沢大会,1,D1(D):相手未解決3%(2件)
507,3.3,472,第19回上杉杯争奪全国かるた競技大会,2018-04-14,上杉杯大会,1,D3(D):相手未解決3%(2件)
508,3.3,500,"第35回全国競技かるた熊本大会(D,E)",2019-02-24,熊本大会,1,D1(D):相手未解決3%(2件)
509,3.3,1254,第1回全国競技かるた山梨大会(D),2022-05-29,山梨大会,1,D級(D):相手未解決3%(2件)
