rank,score,tournament_id,name,event_date,series,flagged_classes,top_flags
35,136.1,693,第22回全日本新人選手権かるた大会 および 第5回全日本グランドチャンピオン大会,,新人選手権,4,C(C):相手未解決70%(21件); 優勝者導出なし / B(B):相手未解決72%(26件); 優勝者導出なし / D(D):相手未解決57%(20件); 優勝者導出なし
36,135.1,1460,第24回埼玉県百人一首大会,2015-09-23,埼玉県大会,3,C 級(C):相手未解決4%(14件); ミラー欠落31%(104件); 勝敗矛盾8件 / 入門級（一般(-):相手未解決4%(4件); ミラー欠落32%(32件); 優勝者導出なし / 入門級（戸田(-):相手未解決5%(1件); ミラー欠落26%(5件); 優勝者導出なし
37,132.4,635,第1回千葉県かるた大会(上級),2011-09-19,千葉県大会,6,B(B):相手未解決36%(10件); 優勝者導出なし / D(D):相手未解決17%(5件); ミラー欠落11%(2件); 優勝者導出なし / A(A):相手未解決38%(10件)
38,132.0,702,第42回 全国かるた競技宇佐神宮大会結果表,2013-03-09,宇佐神宮大会,4,C(C):相手未解決100%(176件); 優勝者導出なし / D(D):相手未解決100%(141件); 優勝者導出なし / A(A):相手未解決100%(112件)
39,132.0,717,第26回全国競技かるた中学生選手権大会,,中学生選手権(個人戦),4,B(B):相手未解決51%(42件); 優勝者導出なし / D(D):相手未解決39%(51件); 優勝者導出なし / A(A):相手未解決83%(25件)
40,132.0,726,第43回 全国かるた競技宇佐神宮大会結果表,2015-03-01,宇佐神宮大会,4,C(C):相手未解決82%(140件); 優勝者導出なし / D(D):相手未解決91%(136件); 優勝者導出なし / A(A):相手未解決91%(106件)
41,132.0,1458,第79回全国競技かるた北國大会,2017-10-08,北國大会,2,A級(A):相手未解決42%(65件); ミラー欠落93%(53件); 優勝者導出なし / Ａ級(-):相手未解決46%(463件); ミラー欠落95%(407件); 優勝者導出なし
42,125.1,1251,第10回奥の細道むすびの地全国競技かるた大垣大会,2022-05-03,大垣大会,5,Ｂ級(B):ミラー欠落100%(85件); 無対戦参加者46%(41人); 優勝者導出なし / Ａ級(A):ミラー欠落100%(53件); 無対戦参加者42%(23人); 優勝者導出なし / Ｃ級(C):優勝者導出なし
43,122.0,674,第35回 全国小・中学生かるた選手権福井大会 結果報告表,,小中学生選手権福井,5,高校生(-):相手未解決35%(7件); ミラー欠落38%(5件); 優勝者導出なし / ２年生(-):勝敗矛盾14件; 優勝者導出なし / ３年生(-):勝敗矛盾6件; 優勝者導出なし
44,118.9,734,第27回全国競技かるた中学生選手権大会,,中学生選手権(個人戦),4,A(A):相手未解決100%(16件); 優勝者導出なし / B(B):相手未解決61%(36件); 優勝者導出なし / C(C):相手未解決49%(44件)
45,118.9,1465,第2回全国競技かるた札幌大会,2018-11-24,札幌大会,4,D級(D):相手未解決17%(5件); ミラー欠落20%(5件); 優勝者導出なし / C級(C):相手未解決13%(4件); ミラー欠落15%(4件); 優勝者導出なし / E級(E):相手未解決10%(5件); ミラー欠落10%(3件); 優勝者導出なし
46,115.1,1313,第4回全国競技かるた新潟大会,2022-10-09,新潟大会,7,D(D):相手未解決35%(33件) / B(B):相手未解決30%(29件) / A(A):相手未解決19%(10件)
47,114.0,802,第30回全国競技かるた中学生選手権大会,,中学生選手権(個人戦),4,C(C):相手未解決35%(93件); 優勝者導出なし / D(D):相手未解決49%(124件); 優勝者導出なし / E(E):相手未解決62%(77件); 優勝者導出なし
48,108.6,723,第2回関東地区初心者かるた大会,,関東地区初心者大会,15,E1(E):相手未解決7%(3件); ミラー欠落8%(3件); 優勝者導出なし / E3(E):ミラー欠落4%(2件); 優勝者導出なし / E2(E):優勝者導出なし
49,108.0,1067,小倉百人一首競技かるた 第38回全国小学生選手権大会 結果報告表,2025-01-19,小学生選手権,3,B(B):相手未解決67%(12件); 優勝者導出なし / C(C):相手未解決64%(14件); 優勝者導出なし / D(D):相手未解決50%(18件); 優勝者導出なし
50,108.0,1216,第4回全国競技かるた千葉大会,2026-05-31,千葉大会,3,優勝1(-):ミラー欠落100%(57件); 優勝者導出なし / 優勝2(-):ミラー欠落100%(58件); 優勝者導出なし / 優勝3(-):ミラー欠落100%(58件); 優勝者導出なし
51,108.0,1288,第34回全国中学生選手権大会(個人戦),2022-08-07,中学生選手権(個人戦),3,D(D):相手未解決48%(144件); 優勝者導出なし / C(C):相手未解決77%(36件); 優勝者導出なし / E(E):相手未解決52%(126件); 優勝者導出なし
52,106.4,691,第22回埼玉県百人一首大会,2013-09-22,埼玉県大会,5,Ｃ級(C):相手未解決33%(31件) / Ｄ２級(D):相手未解決31%(30件) / Ｄ１級(D):相手未解決29%(28件)
53,103.8,1430,第5回全国競技かるた新潟大会,2023-10-08,新潟大会,5,C(C):相手未解決29%(58件); 優勝者導出なし / E(E):相手未解決22%(34件); 優勝者導出なし / B(B):相手未解決17%(37件); 優勝者導出なし
54,101.0,1142,第7回全国競技かるた新潟大会,2025-10-11,新潟大会,5,A(A):相手未解決24%(49件); 優勝者導出なし / C(C):相手未解決19%(40件); 優勝者導出なし / E(E):相手未解決16%(43件); 優勝者導出なし
55,100.0,761,第28回全国競技かるた中学生選手権大会,,中学生選手権(個人戦),3,B(B):相手未解決40%(35件); 優勝者導出なし / C(C):相手未解決28%(26件); 優勝者導出なし / A(A):相手未解決64%(9件)
56,95.7,648,第24回 全国小学生かるた選手権大会 結果報告表,2011-01-10,小学生選手権,2,高学年の部(６年・５年)(-):相手未解決25%(32件); ミラー欠落23%(22件) / 低学年の部(３年～１年)(-):相手未解決18%(17件); ミラー欠落29%(15件)
57,94.9,708,第28回滋賀県競技かるた大会,,滋賀県大会,5,E2(E):相手未解決8%(6件); ミラー欠落9%(6件); 優勝者導出なし / 上級者の部対戦結果(-):相手未解決7%(6件); ミラー欠落7%(6件); 優勝者導出なし / E1(E):相手未解決6%(6件); ミラー欠落7%(6件); 優勝者導出なし
58,93.8,1030,第6回全国競技かるた新潟大会,2024-10-05,新潟大会,5,E(E):相手未解決18%(29件); 優勝者導出なし / D(D):相手未解決16%(17件); 優勝者導出なし / B(B):相手未解決18%(19件)
59,90.0,747,第28回全国競技かるた東大阪大会,2016-02-28,東大阪大会,3,A(A):相手未解決98%(204件) / B1(B):相手未解決97%(120件) / B2(B):相手未解決100%(123件)
60,90.0,1309,第2回全国競技かるた会津大会,2022-10-23,会津大会,3,D1(D):相手未解決32%(15件) / D2(D):相手未解決32%(15件) / E1(E):相手未解決32%(15件)
61,86.8,798,第14回全国競技かるた兵庫大会,2017-04-29,兵庫大会,5,B1.2(B):相手未解決20%(85件); 優勝者導出なし / A(A):相手未解決20%(43件) / E1.2.3.4.5(E):相手未解決11%(27件); 優勝者導出なし
62,80.3,1388,第11回 奥の細道むすびの地 全国競技かるた大垣大会,2023-05-04,大垣大会,4,B2(B):相手未解決46%(54件); ミラー欠落100%(54件) / Ｄ級(D):ミラー欠落2%(9件); 優勝者導出なし / A級(A):優勝者導出なし
63,79.7,1394,"第23回全国競技かるた愛知大会(D,E)",2023-06-03,愛知大会,9,D4(D):相手未解決11%(6件); 勝敗矛盾2件; 優勝者導出なし / E10(E):相手未解決4%(1件); ミラー欠落4%(1件); 優勝者導出なし / D1(D):相手未解決11%(6件)
64,77.7,777,第28回全国競技かるた水沢大会,2017-09-24,水沢大会,6,Ｂ級(B):相手未解決5%(6件); ミラー欠落5%(6件); 勝敗矛盾2件 / Ｅ級２(E):相手未解決14%(8件) / Ｄ級３(D):相手未解決5%(3件); ミラー欠落6%(3件); 相手名ゴミ3件
65,75.2,811,第80回全国競技かるた北國大会,,北國大会,11,Ｃ級２組(C):ミラー欠落5%(4件); 優勝者導出なし / Ｃ級１組(C):ミラー欠落2%(2件); 優勝者導出なし / Ｂ級２組(B):ミラー欠落2%(2件); 優勝者導出なし
66,74.6,1385,第18回全国競技かるた兵庫大会,2023-04-29,兵庫大会,5,B(B):相手未解決12%(56件); 優勝者導出なし / C(C):相手未解決11%(51件); 優勝者導出なし / D(D):相手未解決9%(52件); 優勝者導出なし
